mutant,operator,info,status
   1,AOD,nayajson:361,killed by test_arrays
   2,AOD,nayajson:387,killed by test_arrays
   3,AOD,nayajson:388,killed by test_arrays
   4,AOD,nayajson:389,+survived
   5,AOD,nayajson:390,+survived
   6,AOD,nayajson:391,+survived
   7,AOD,nayajson:392,+survived
   8,AOD,nayajson:393,+survived
   9,AOD,nayajson:397,killed by test_objects
  10,AOD,nayajson:398,+survived
  11,AOD,nayajson:399,killed by test_objects
  12,AOD,nayajson:400,killed by test_objects
  13,AOD,nayajson:411,killed by test_objects
  14,AOD,nayajson:441,killed by test_objects
  15,AOD,nayajson:442,killed by test_objects
  16,AOD,nayajson:443,+survived
  17,AOD,nayajson:444,+survived
  18,AOD,nayajson:445,+survived
  19,AOD,nayajson:446,+survived
  20,AOD,nayajson:447,+survived
  21,AOD,nayajson:451,killed by test_objects
  22,AOD,nayajson:452,+survived
  23,AOD,nayajson:453,killed by test_objects
  24,AOD,nayajson:454,killed by test_objects
  25,AOD,nayajson:461,+survived
  26,AOD,nayajson:462,killed by test_objects
  27,AOD,nayajson:469,killed by test_objects
  28,AOD,nayajson:470,+survived
  29,AOD,nayajson:471,killed by test_objects
  30,AOD,nayajson:472,killed by test_objects
  31,AOD,nayajson:491,killed by test_objects
  32,AOD,nayajson:492,killed by test_objects
  33,AOD,nayajson:497,killed by test_arrays
  34,AOD,nayajson:498,killed by test_arrays
  35,AOD,nayajson:499,+survived
  36,AOD,nayajson:500,+survived
  37,AOR,nayajson:258,killed by test_string_parsing
  38,AOR,nayajson:258,incompetent
  39,AOR,nayajson:258,killed by test_string_parsing
  40,AOR,nayajson:258,killed by test_string_parsing
  41,AOR,nayajson:260,killed by test_string_parsing
  42,AOR,nayajson:260,incompetent
  43,AOR,nayajson:260,killed by test_string_parsing
  44,AOR,nayajson:260,killed by test_string_parsing
  45,AOR,nayajson:262,killed by test_string_parsing
  46,AOR,nayajson:262,incompetent
  47,AOR,nayajson:262,killed by test_string_parsing
  48,AOR,nayajson:262,killed by test_string_parsing
  49,AOR,nayajson:269,killed by test_string_parsing
  50,AOR,nayajson:269,incompetent
  51,AOR,nayajson:269,killed by test_string_parsing
  52,AOR,nayajson:269,killed by test_string_parsing
  53,AOR,nayajson:271,killed by test_string_parsing
  54,AOR,nayajson:271,incompetent
  55,AOR,nayajson:271,killed by test_string_parsing
  56,AOR,nayajson:271,killed by test_string_parsing
  57,AOR,nayajson:273,killed by test_string_parsing
  58,AOR,nayajson:273,incompetent
  59,AOR,nayajson:273,killed by test_string_parsing
  60,AOR,nayajson:273,killed by test_string_parsing
  61,AOR,nayajson:280,killed by test_string_parsing
  62,AOR,nayajson:280,incompetent
  63,AOR,nayajson:280,killed by test_string_parsing
  64,AOR,nayajson:280,killed by test_string_parsing
  65,AOR,nayajson:282,killed by test_string_parsing
  66,AOR,nayajson:282,incompetent
  67,AOR,nayajson:282,killed by test_string_parsing
  68,AOR,nayajson:282,killed by test_string_parsing
  69,AOR,nayajson:284,+survived
  70,AOR,nayajson:284,+survived
  71,AOR,nayajson:284,+survived
  72,AOR,nayajson:284,+survived
  73,AOR,nayajson:291,killed by test_string_parsing
  74,AOR,nayajson:293,killed by test_string_parsing
  75,AOR,nayajson:295,killed by test_string_parsing
  76,AOR,nayajson:361,killed by test_arrays
  77,AOR,nayajson:387,killed by test_arrays
  78,AOR,nayajson:388,killed by test_arrays
  79,AOR,nayajson:389,+survived
